iti_coeff,detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.2,0.18,log10_fsr_linear_vs_snr,2,12.0,13.0,0.04,0.59,-1.168792020314183,13.79635625541234,1.0,,0.01,-2.0,13.515113023415509,0.515113023415509
0.2,0.18,log10_fsr_linear_vs_snr,2,12.0,13.0,0.04,0.59,-1.168792020314183,13.79635625541234,1.0,,0.001,-3.0,14.370697235678689,1.3706972356786888
0.2,0.18,log10_fsr_linear_vs_snr,2,12.0,13.0,0.04,0.59,-1.168792020314183,13.79635625541234,1.0,,0.0001,-4.0,15.226281447941869,2.2262814479418687
0.2,0.2,log10_fsr_linear_vs_snr,2,12.0,13.0,0.07,0.57,-0.9107768156582355,10.685196643571317,1.0,,0.01,-2.0,13.927887080001577,0.927887080001577
0.2,0.2,log10_fsr_linear_vs_snr,2,12.0,13.0,0.07,0.57,-0.9107768156582355,10.685196643571317,1.0,,0.001,-3.0,15.025850909128344,2.0258509091283443
0.2,0.2,log10_fsr_linear_vs_snr,2,12.0,13.0,0.07,0.57,-0.9107768156582355,10.685196643571317,1.0,,0.0001,-4.0,16.12381473825511,3.12381473825511
0.2,0.22,log10_fsr_linear_vs_snr,3,12.0,14.0,0.02,0.63,-0.7491552768948012,8.757222951151377,0.994562595716445,,0.01,-2.0,14.359136594137533,0.3591365941375333
0.2,0.22,log10_fsr_linear_vs_snr,3,12.0,14.0,0.02,0.63,-0.7491552768948012,8.757222951151377,0.994562595716445,,0.001,-3.0,15.693973350737492,1.6939733507374921
0.2,0.22,log10_fsr_linear_vs_snr,3,12.0,14.0,0.02,0.63,-0.7491552768948012,8.757222951151377,0.994562595716445,,0.0001,-4.0,17.02881010733745,3.028810107337449
0.2,0.25,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.24,-1.0791812460476222,13.409567440330685,1.0,,0.01,-2.0,14.278942945651124,0.2789429456511243
0.2,0.25,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.24,-1.0791812460476222,13.409567440330685,1.0,,0.001,-3.0,15.20557135368025,1.2055713536802504
0.2,0.25,log10_fsr_linear_vs_snr,2,13.0,14.0,0.02,0.24,-1.0791812460476222,13.409567440330685,1.0,,0.0001,-4.0,16.13219976170938,2.13219976170938
0.25,0.15,log10_fsr_linear_vs_snr,3,13.0,15.0,0.05,0.72,-0.5791812460476252,7.401378043167155,0.9980739832748293,,0.01,-2.0,16.23218656909705,1.232186569097049
